,assists,creeps_stacked,deaths,denies,duration,hero_damage,kills,last_hits,levels,name,net,obs_placed,sen_placed,tower_damage,xpm
0,56,10.0,10,50,34.4,93866.0,35,1297,109,Royal Never Give Up,83794.0,17.0,32.0,15696.0,3231
1,24,3.0,35,29,34.4,55124.0,10,910,87,Team Aster,53947.0,17.0,28.0,1414.0,2203
2,77,16.0,28,49,44.33,102842.0,26,968,107,Team Liquid,83236.0,16.0,22.0,11884.0,2295
3,86,14.0,28,21,44.33,100528.0,28,800,105,OG,70296.0,17.0,16.0,11822.0,2168
4,35,18.191974595842957,7,25,18.7,81486.7612757732,20,334,57,Team Secret,41901.0,13.504618937644342,19.03002309468822,9776.290127020786,2064
5,11,18.191974595842957,20,16,18.7,81486.7612757732,6,276,43,PSG.LGD,21757.0,13.504618937644342,19.03002309468822,9776.290127020786,1253
6,80,15.0,12,33,30.36,98717.0,39,718,102,Team Secret,70088.0,15.0,8.0,19435.0,3078
7,24,22.0,40,38,30.36,62743.0,11,738,80,OG,41739.0,15.0,19.0,3275.0,2055
8,63,25.0,13,72,28.46,64718.0,28,717,89,Team Liquid,59222.0,14.0,19.0,16102.0,2623
9,23,32.0,29,25,28.46,57049.0,12,488,67,Evil Geniuses,37328.0,13.0,11.0,5459.0,1592
10,4,24.0,22,28,26.58,53801.0,2,630,64,Fnatic,39114.0,12.0,19.0,3663.0,1624
11,50,44.0,2,53,26.58,54356.0,22,765,84,BOOM Esports,62943.0,12.0,16.0,21577.0,2610
12,67,7.0,10,46,28.47,73295.0,34,682,92,Evil Geniuses,58657.0,12.0,18.0,5940.0,2889
13,14,53.0,34,28,28.47,48025.0,10,682,73,PSG.LGD,41254.0,12.0,22.0,209.0,1989
14,24,3.0,31,28,29.4,50135.0,10,627,78,Royal Never Give Up,44547.0,14.0,26.0,1104.0,2095
15,60,22.0,12,52,29.4,97740.0,30,770,93,PSG.LGD,66790.0,14.0,24.0,2509.0,2898
16,78,29.0,12,22,36.44,104147.0,28,954,107,Team Spirit,80076.0,18.0,32.0,30605.0,3082
17,23,20.0,29,38,36.44,67369.0,12,1164,96,PSG.LGD,62048.0,16.0,34.0,3384.0,2462
18,33,25.0,4,52,17.34,35584.0,13,426,58,Royal Never Give Up,37374.0,8.0,3.0,15304.0,2045
19,7,10.0,13,26,17.34,30897.0,4,376,50,Team Spirit,20627.0,9.0,8.0,1414.0,1557
20,39,57.0,13,34,38.23,84344.0,24,1167,108,Fnatic,87528.0,18.0,25.0,17395.0,2827
21,25,5.0,25,34,38.23,84314.0,12,839,92,OG,54419.0,18.0,24.0,3381.0,1993
22,60,12.0,16,44,28.25,61119.0,22,754,89,Royal Never Give Up,65523.0,14.0,27.0,22634.0,2772
23,30,22.0,22,28,28.25,53748.0,16,723,78,Team Aster,53358.0,13.0,23.0,4442.0,2237
24,49,22.0,15,62,35.17,68243.0,26,867,99,PSG.LGD,69833.0,15.0,14.0,13393.0,2616
25,30,12.0,26,22,35.17,49156.0,15,872,90,Team Secret,54490.0,13.0,11.0,2809.0,2131
26,76,28.0,22,63,41.53,93020.0,31,1255,119,Royal Never Give Up,87418.0,20.0,28.0,17143.0,3225
27,50,44.0,33,60,41.53,84881.0,21,1176,110,Team Aster,75642.0,19.0,27.0,10623.0,2883
28,50,6.0,30,15,42.5,81191.0,19,1292,109,Team Secret,78265.0,21.0,38.0,4926.0,2585
29,75,25.0,19,49,42.5,115366.0,30,1291,115,Fnatic,94453.0,21.0,39.0,34445.0,3025
30,43,18.191974595842957,8,28,23.34,44756.0,27,473,67,Evil Geniuses,55367.0,13.504618937644342,19.03002309468822,9162.0,2301
31,17,18.191974595842957,28,26,23.34,20157.0,7,338,54,PSG.LGD,27888.0,13.504618937644342,19.03002309468822,400.0,1465
32,60,18.191974595842957,10,35,39.2,81486.7612757732,24,893,94,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2556
33,18,18.191974595842957,25,54,39.2,81486.7612757732,9,639,75,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,1667
34,105,20.0,36,30,34.11,135005.0,43,743,110,PSG.LGD,62238.098293113595,16.0,29.0,11873.0,3297
35,68,5.0,43,45,34.11,86496.0,36,623,90,Evil Geniuses,62238.098293113595,14.0,27.0,9530.0,2259
36,28,18.191974595842957,30,18,41.36,25428.0,12,665,75,Team Liquid,62238.098293113595,13.504618937644342,19.03002309468822,2215.0,1534
37,76,18.191974595842957,13,19,41.36,39555.0,29,813,93,OG,62238.098293113595,13.504618937644342,19.03002309468822,8709.0,2291
38,61,48.0,37,47,51.6,99727.0,28,1258,101,OG,76294.0,20.0,41.0,2327.0,1772
39,75,6.0,31,52,51.6,88805.0,37,986,112,Team Liquid,98895.0,20.0,13.0,12291.0,2328
40,33,14.0,25,59,28.2,69265.0,18,758,78,Fnatic,47073.0,14.0,14.0,3107.0,2223
41,66,8.0,18,49,28.2,70279.0,25,687,85,OG,58169.0,13.0,23.0,25574.0,2369
42,52,32.0,41,22,39.28,109662.0,21,870,101,Nigma Galaxy,57211.0,17.0,23.0,856.0,2456
43,98,60.0,21,37,39.28,110289.0,39,1089,119,Team Liquid,90525.0,19.0,27.0,32961.0,3285
44,72,50.0,14,43,33.5,114019.0,34,938,106,OG,78381.0,17.0,22.0,28233.0,3102
45,31,22.0,34,23,33.5,95508.0,14,769,85,Nigma Galaxy,52652.0,14.0,24.0,489.0,2231
46,42,5.0,26,34,36.35,79687.0,23,911,98,Royal Never Give Up,65782.0,17.0,31.0,5647.0,2597
47,69,41.0,23,25,36.35,107682.0,26,1105,107,Team Aster,83055.0,18.0,33.0,21502.0,3066
48,48,4.0,29,74,46.43,88232.0,22,1262,115,Team Aster,82550.0,22.0,28.0,6230.0,2606
49,77,7.0,22,63,46.43,95967.0,28,1079,122,Royal Never Give Up,85120.0,21.0,27.0,13885.0,2960
50,60,32.0,36,66,55.15,138904.0,25,1361,121,Tundra Esports,101911.0,23.0,47.0,4217.0,2571
51,77,22.0,25,27,55.15,181513.0,34,2183,131,Team Secret,138158.0,25.0,44.0,22408.0,2907
52,71,14.0,24,56,38.54,100695.0,27,931,99,PSG.LGD,78332.0,19.0,22.0,21680.0,2424
53,61,5.0,27,37,38.54,79335.0,24,929,98,Royal Never Give Up,57176.0,17.0,24.0,4587.0,2259
54,81,32.0,15,29,35.43,118145.0,38,1091,114,Thunder Awaken,84761.0,18.0,33.0,21836.0,3417
55,36,32.0,38,50,35.43,101950.0,14,808,93,Team Liquid,55442.0,18.0,25.0,3246.0,2398
56,78,7.0,33,67,41.29,79703.0,33,742,103,Team Liquid,72745.0,17.0,15.0,15046.0,2295
57,60,7.0,33,56,41.29,99770.0,32,939,108,PSG.LGD,74035.0,17.0,13.0,11242.0,2474
58,73,18.191974595842957,16,38,44.27,54546.0,26,1040,93,Fnatic,62238.098293113595,13.504618937644342,19.03002309468822,13281.0,2209
59,32,18.191974595842957,27,35,44.27,40858.0,16,940,83,PSG.LGD,62238.098293113595,13.504618937644342,19.03002309468822,3140.0,1801
60,54,10.0,19,54,30.24,67656.0,27,663,87,PSG.LGD,56848.0,15.0,23.0,19273.0,2467
