,sat_state_2017,sat_participation_2017,sat_ebrw_2017,sat_math_2017,sat_total_2017,act_state_2017,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_state_2018,sat_participation_2018,sat_ebrw_2018,sat_math_2018,sat_total_2018,index,act_state_2018,act_participation_2018,act_composite_2018
0,Alabama,0.05,593,572,1165,Alabama,1.0,18.9,18.4,19.7,19.4,19.2,Alabama,0.06,595,571,1166,0,Alabama,1.0,19.1
1,Alaska,0.38,547,533,1080,Alaska,0.65,18.7,19.8,20.4,19.9,19.8,Alaska,0.43,562,544,1106,1,Alaska,0.33,20.8
2,Arizona,0.3,563,553,1116,Arizona,0.62,18.6,19.8,20.1,19.8,19.7,Arizona,0.29,577,572,1149,2,Arizona,0.66,19.2
3,Arkansas,0.03,614,594,1208,Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,Arkansas,0.05,592,576,1169,3,Arkansas,1.0,19.4
4,California,0.53,531,524,1055,California,0.31,22.5,22.7,23.1,22.2,22.8,California,0.6,540,536,1076,4,California,0.27,22.7
5,Colorado,0.11,606,595,1201,Colorado,1.0,20.1,20.3,21.2,20.9,20.8,Colorado,1.0,519,506,1025,5,Colorado,0.3,23.9
6,Connecticut,1.0,530,512,1041,Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,Connecticut,1.0,535,519,1053,6,Connecticut,0.26,25.6
7,Delaware,1.0,503,492,996,Delaware,0.18,24.1,23.4,24.8,23.6,24.1,Delaware,1.0,505,492,998,7,Delaware,0.17,23.8
8,District of Columbia,1.0,482,468,950,District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2,District of Columbia,0.92,497,480,977,8,District of columbia,0.32,23.6
9,Florida,0.83,520,497,1017,Florida,0.73,19.0,19.4,21.0,19.4,19.8,Florida,0.56,550,549,1099,9,Florida,0.66,19.9
10,Georgia,0.61,535,515,1050,Georgia,0.55,21.0,20.9,22.0,21.3,21.4,Georgia,0.7,542,522,1064,10,Georgia,0.53,21.4
11,Hawaii,0.55,544,541,1085,Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,Hawaii,0.56,480,530,1010,11,Hawaii,0.89,18.9
12,Idaho,0.93,513,493,1005,Idaho,0.38,21.9,21.8,23.0,22.1,22.3,Idaho,1.0,508,493,1001,12,Idaho,0.36,22.3
13,Illinois,0.09,559,556,1115,Illinois,0.93,21.0,21.2,21.6,21.3,21.4,Illinois,0.99,513,506,1019,13,Illinois,0.43,23.9
14,Indiana,0.63,542,532,1074,Indiana,0.35,22.0,22.4,23.2,22.3,22.6,Indiana,0.63,542,532,1074,14,Indiana,0.32,22.5
15,Iowa,0.02,641,635,1275,Iowa,0.67,21.2,21.3,22.6,22.1,21.9,Iowa,0.03,634,631,1265,15,Iowa,0.68,21.8
16,Kansas,0.04,632,628,1260,Kansas,0.73,21.1,21.3,22.3,21.7,21.7,Kansas,0.04,633,631,1265,16,Kansas,0.71,21.6
17,Kentucky,0.04,631,616,1247,Kentucky,1.0,19.6,19.4,20.5,20.1,20.0,Kentucky,0.04,630,618,1248,17,Kentucky,1.0,20.2
18,Louisiana,0.04,611,586,1198,Louisiana,1.0,19.4,18.8,19.8,19.6,19.5,Louisiana,0.04,615,595,1210,18,Louisiana,1.0,19.2
19,Maine,0.95,513,499,1012,Maine,0.08,24.2,24.0,24.8,23.7,24.3,Maine,0.99,512,501,1013,19,Maine,0.07,24.0
20,Maryland,0.69,536,524,1060,Maryland,0.28,23.3,23.1,24.2,23.2,23.6,Maryland,0.76,545,535,1080,21,Maryland,0.31,22.5
21,Massachusetts,0.76,555,551,1107,Massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,Massachusetts,0.8,562,563,1125,22,Massachusetts,0.25,25.5
22,Michigan,1.0,509,495,1005,Michigan,0.29,24.1,23.7,24.5,23.8,24.1,Michigan,1.0,511,499,1011,23,Michigan,0.22,24.2
23,Minnesota,0.03,644,651,1295,Minnesota,1.0,20.4,21.5,21.8,21.6,21.5,Minnesota,0.04,643,655,1298,24,Minnesota,0.99,21.3
24,Mississippi,0.02,634,607,1242,Mississippi,1.0,18.2,18.1,18.8,18.8,18.6,Mississippi,0.03,630,606,1236,25,Mississippi,1.0,18.6
25,Missouri,0.03,640,631,1271,Missouri,1.0,19.8,19.9,20.8,20.5,20.4,Missouri,0.04,633,629,1262,26,Missouri,1.0,20.0
26,Montana,0.1,605,591,1196,Montana,1.0,19.0,20.2,21.0,20.5,20.3,Montana,0.1,606,592,1198,27,Montana,1.0,20.0
27,Nebraska,0.03,629,625,1253,Nebraska,0.84,20.9,20.9,21.9,21.5,21.4,Nebraska,0.03,629,623,1252,28,Nebraska,1.0,20.1
28,Nevada,0.26,563,553,1116,Nevada,1.0,16.3,18.0,18.1,18.2,17.8,Nevada,0.23,574,566,1140,29,Nevada,1.0,17.7
29,New Hampshire,0.96,532,520,1052,New Hampshire,0.18,25.4,25.1,26.0,24.9,25.5,New Hampshire,0.96,535,528,1063,30,New Hampshire,0.16,25.1
30,New Jersey,0.7,530,526,1056,New Jersey,0.34,23.8,23.8,24.1,23.2,23.9,New Jersey,0.82,547,547,1094,31,New Jersey,0.31,23.7
31,New Mexico,0.11,577,561,1138,New Mexico,0.66,18.6,19.4,20.4,20.0,19.7,New Mexico,0.16,552,540,1093,32,New Mexico,0.67,19.4
32,New York,0.67,528,523,1052,New York,0.31,23.8,24.0,24.6,23.9,24.2,New York,0.79,534,534,1068,33,New York,0.27,24.5
33,North Carolina,0.49,546,535,1081,North Carolina,1.0,17.8,19.3,19.6,19.3,19.1,North Carolina,0.52,554,543,1098,34,North Carolina,1.0,19.1
34,North Dakota,0.02,635,621,1256,North Dakota,0.98,19.0,20.4,20.5,20.6,20.3,North Dakota,0.02,640,643,1283,35,North Dakota,0.98,20.3
35,Ohio,0.12,578,570,1149,Ohio,0.75,21.2,21.6,22.5,22.0,22.0,Oklahoma,0.08,541,521,1062,36,Ohio,1.0,20.3
36,Oklahoma,0.07,530,517,1047,Oklahoma,1.0,18.5,18.8,20.1,19.6,19.4,Ohio,0.18,552,547,1099,37,Oklahoma,1.0,19.3
37,Oregon,0.43,560,548,1108,Oregon,0.4,21.2,21.5,22.4,21.7,21.8,Oregon,0.48,564,553,1117,38,Oregon,0.42,21.3
38,Pennsylvania,0.65,540,531,1071,Pennsylvania,0.23,23.4,23.4,24.2,23.3,23.7,Pennsylvania,0.7,547,539,1086,39,Pennsylvania,0.2,23.5
39,Rhode Island,0.71,539,524,1062,Rhode Island,0.21,24.0,23.3,24.7,23.4,24.0,Rhode Island,0.97,513,505,1018,40,Rhode Island,0.15,24.2
40,South Carolina,0.5,543,521,1064,South Carolina,1.0,17.5,18.6,19.1,18.9,18.7,South Carolina,0.55,547,523,1070,41,South Carolina,1.0,18.3
41,South Dakota,0.03,612,603,1216,South Dakota,0.8,20.7,21.5,22.3,22.0,21.8,South Dakota,0.03,622,618,1240,42,South Dakota,0.77,21.9
42,Tennessee,0.05,623,604,1228,Tennessee,1.0,19.5,19.2,20.1,19.9,19.8,Tennessee,0.06,624,607,1231,43,Tennessee,1.0,19.6
43,Texas,0.62,513,507,1020,Texas,0.45,19.5,20.7,21.1,20.9,20.7,Texas,0.66,520,512,1032,44,Texas,0.45,20.7
44,Utah,0.03,624,614,1238,Utah,1.0,19.5,19.9,20.8,20.6,20.3,Utah,0.04,480,530,1010,45,Utah,1.0,20.4
45,Vermont,0.6,562,551,1114,Vermont,0.29,23.3,23.1,24.4,23.2,23.6,Vermont,0.64,565,554,1120,46,Vermont,0.24,24.1
46,Virginia,0.65,561,541,1102,Virginia,0.29,23.5,23.3,24.6,23.5,23.8,Virginia,0.68,567,550,1117,47,Virginia,0.24,23.9
47,Washington,0.64,541,534,1075,Washington,0.29,20.9,21.9,22.1,22.0,21.9,Washington,0.69,543,538,1081,48,Washington,0.24,22.2
48,West Virginia,0.14,558,528,1086,West Virginia,0.69,20.0,19.4,21.2,20.5,20.4,West Virginia,0.28,513,486,999,49,West Virginia,0.65,20.3
